Source,Target,Weight
daysafteryouu,ojkindonesia,2
daysafteryouu,otwlunas,1
daysafteryouu,partaisocmed,1
daysafteryouu,rakyatvspinjol,2
daysafteryouu,srhbaes,1
dbengkoang,tomketlovers,1
de_bungas,neomubgshp,1
de_chanie,dpr_ri,1
de_chanie,yaniarsim,1
deayuap,breybrandon,1
deayuap,oodracoo,1
deayuap,worksfess,1
debtfree2k27,karirfess,1
dee_rose82,5tev3n_pe9el,1
deeandra_naya,genz_grind,1
delasyahmareads,kompascom,1
denisupriyadi06,kompastv,1
deraawal,doktertifa,1
deraawal,prabowo,1
detikcom,detik_jatim,1
dexterduke6,kucengterbanggg,1
dhee_armina,karirfess,1
dhisacapcn,karirfess,1
dickyfirmanzyah,bacottetangga__,1
didietmaulana,kumparan,1
didikw,txtdrimedia,1
dikaalmahdi2,batskivj,1
dikaalmahdi2,ewinputra679172,1
dikaalmahdi2,txtharihariwni,1
dilanjutgak,blue_byunbaek,1
dilanjutgak,tanyarlfes,1
divhumas_polri,adanzhop,1
divhumas_polri,agusnew90373388,1
divhumas_polri,alfesab78562,1
divhumas_polri,alvinfadil18,1
divhumas_polri,andrisalote2,1
divhumas_polri,asukasedek21121,1
divhumas_polri,dhooii16,1
divhumas_polri,dilaga23,1
divhumas_polri,fadiald_,1
divhumas_polri,fadli_ngrha,1
divhumas_polri,fiyatra17136,1
divhumas_polri,honeyde00431229,1
divhumas_polri,iam240,1
divhumas_polri,iwanset96496725,1
divhumas_polri,mamba_oke,1
divhumas_polri,maulanaa660,1
divhumas_polri,mrequalizer2024,1
divhumas_polri,mronaldo0107,1
divhumas_polri,muhammadhamda5,1
divhumas_polri,pappuyyy,1
divhumas_polri,polsekpaliyan,1
divhumas_polri,rfyd_30,1
divhumas_polri,ritonangyu15263,1
divhumas_polri,satyajaya340432,1
divhumas_polri,syabannasution,1
divhumas_polri,tommyaditya1308,1
divhumas_polri,trynoldi,1
divhumas_polri,unicornnland,1
divhumas_polri,vitonihamka,1
divhumas_polri,zulhamiabdi01,1
djolafix,kilik_panji,1
dloxri,ditjenpajakri,1
dloxri,mohmahfudmd,1
dloxri,ojkindonesia,1
dloxri,pidum_bareskrim,1
doktertifa,prabowo,2
donad4656,tvonenews,1
dosafotografer,resahnegeri,1
dosenkesmas,tanyakanrl,1
dsusanro,wolf_of_ihsg,1
duc_of_nowhere,catuaries,1
duketology_x,uliisshh,1
duniarandoz4,arara_lilly,1
duniarandoz4,kapuds640,1
dyananjani89,heraloebss,1
eastairmen,lambesahamjja,1
ecanotechaa,lovedrichfree,1
echiest,ccicpolri,1
ecosocrights,divhumas_polri,1
ecosocrights,jokowi,1
ecosocrights,mohmahfudmd,1
edgun061,random_com88,1
edupinjol,kompascom,1
edwin_a_j,outstandjing,1
ejapratamaa,kompascom,1
ekologic4,seekhustle,1
el_jastip,mrongdedy,1
emir_is_fam,daredevils29,1
emir_is_fam,karirfess,1
emir_is_fam,muly38921,1
empressistyping,tangankanancuan,1
enasdhuhri,flashdllah,1
enasdhuhri,indopopbase,1
endah_enen,hidupsebagai62,1
endah_enen,males_thinking,1
endah_enen,revelioncr49,1
enkithelord,profesor_saham,1
ervinalutfi,worksfess,1
estehgapakegula,kisi_sekuritas,1
every1_young,kincirn,2
every1_young,minockra,3
every1_young,mochiimomoo0,4
fadlipenyair12,tvonenews,1
fairyjmm___,bismillahyuk_,1
fajarnugros,astikamindya,1
fake66618,unmagnetism,1
fanji_apt,keluhkesahkonoh,1
