Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
zisgates,zisgates,0.0046801872074883,0.0,0.0046801872074883,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
muhammadiyingl,muhammadiyingl,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
muhammadiyah,muhammadiyah,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
haedarns,haedarns,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
abe_mukti,abe_mukti,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
dahlanrais,dahlanrais,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
muhadjir_ef,muhadjir_ef,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
seragamkantorid,seragamkantorid,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
blogbayuwin,blogbayuwin,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
mncrgknskl,mncrgknskl,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
tiedictator,tiedictator,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
_neveralonely,_neveralonely,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
orbittlunar,orbittlunar,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
basebdg,basebdg,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
kemdikbud_ri,kemdikbud_ri,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
07msa_id,07msa_id,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
toptobs,toptobs,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
aryhhary,aryhhary,0.00546021840873635,0.0,0.00546021840873635,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
dewi_unik,dewi_unik,0.00078003120124805,0.00078003120124805,0.0,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
pssi,pssi,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
listyosigitp,listyosigitp,0.0031201248049922,0.0031201248049922,0.0,0.0,Tidak Ada Topik / Target Saja
persib,persib,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
ardiantaka,ardiantaka,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
pinjollaknat,pinjollaknat,0.0062402496099844,0.0062402496099844,0.0,0.0,Tidak Ada Topik / Target Saja
